country,year,poverty_rate,gini,unemployment,crime_rate
AT,2014,12.071428571428571,27.6,6.0,40.92
AT,2015,11.957142857142856,27.2,6.1,39.79
AT,2016,12.242857142857142,27.2,6.5,35.66
AT,2017,12.542857142857144,27.9,5.9,29.75
AT,2018,12.371428571428572,26.8,5.2,27.16
AT,2019,12.142857142857142,27.5,4.8,29.67
AT,2020,12.157142857142857,27.0,6.0,24.01
AT,2021,12.414285714285716,26.7,6.2,23.71
AT,2022,12.900000000000002,27.8,4.8,28.24
BE,2014,12.628571428571428,25.9,8.7,196.12
BE,2015,12.12857142857143,26.2,8.7,180.45
BE,2016,12.642857142857142,26.3,7.9,165.13
BE,2017,12.7,26.1,7.2,155.44
BE,2018,13.028571428571428,25.7,6.0,144.61
BE,2019,11.585714285714284,25.1,5.5,142.26
BE,2020,11.37142857142857,25.3,5.8,103.51
BE,2021,10.271428571428572,24.1,6.3,100.64
BE,2022,10.914285714285716,24.7,5.6,115.3
BG,2014,20.142857142857142,35.4,12.4,32.1
BG,2015,20.785714285714285,37.0,10.1,27.02
BG,2016,21.557142857142857,37.7,8.6,23.29
BG,2017,22.557142857142857,40.2,7.2,21.94
BG,2018,21.81428571428572,39.6,6.2,17.94
BG,2019,22.914285714285715,40.8,5.2,16.9
BG,2020,23.071428571428573,40.0,6.1,14.41
BG,2021,21.857142857142858,39.7,5.2,12.14
BG,2022,22.014285714285712,38.4,4.2,13.19
CY,2014,15.357142857142858,34.8,16.1,12.12
CY,2015,15.742857142857144,33.6,15.0,9.21
CY,2016,14.957142857142856,32.1,13.0,10.96
CY,2017,13.842857142857143,30.8,11.1,12.05
CY,2018,13.571428571428571,29.1,8.4,8.45
CY,2019,13.771428571428572,31.5,7.2,6.28
CY,2020,12.571428571428571,29.3,7.6,8.78
CY,2021,12.37142857142857,29.3,7.2,7.59
CY,2022,12.94285714285714,29.0,6.3,10.61
CZ,2014,8.628571428571428,25.1,6.1,24.23
CZ,2015,8.785714285714286,25.0,5.1,19.19
CZ,2016,8.714285714285714,25.1,4.0,15.6
CZ,2017,8.114285714285714,24.5,2.9,14.98
CZ,2018,8.085714285714285,24.0,2.2,13.25
CZ,2019,8.542857142857143,24.0,2.0,13.51
CZ,2020,8.342857142857143,24.2,2.6,11.67
CZ,2021,8.014285714285714,24.8,2.8,11.49
CZ,2022,8.985714285714286,24.8,2.2,13.52
DE,2014,14.5,30.7,4.7,56.3
DE,2015,14.528571428571428,30.1,4.4,55.01
DE,2016,14.12857142857143,29.5,3.9,52.34
DE,2017,13.714285714285714,29.1,3.5,47.08
DE,2018,14.0,31.1,3.2,44.4
